# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
113           	GAMG	1.329610e-01	6.355920e-03	3	true
114           	GAMG	1.304040e-01	1.245740e-02	2	true
115           	GAMG	1.305020e-01	1.252590e-02	2	true
116           	GAMG	1.308880e-01	1.277020e-02	2	true
117           	GAMG	1.312880e-01	1.308530e-02	2	true
118           	GAMG	1.315390e-01	6.301140e-03	3	true
119           	GAMG	1.291100e-01	1.267200e-02	2	true
120           	GAMG	1.293690e-01	1.285870e-02	2	true
121           	GAMG	1.298320e-01	6.272700e-03	3	true
122           	GAMG	1.268170e-01	1.240350e-02	2	true
123           	GAMG	1.274780e-01	1.263980e-02	2	true
124           	GAMG	1.281690e-01	6.207140e-03	3	true
125           	GAMG	1.248740e-01	1.227830e-02	2	true
126           	GAMG	1.256130e-01	6.013580e-03	3	true
127           	GAMG	1.226970e-01	1.194360e-02	2	true
128           	GAMG	1.236450e-01	1.230210e-02	2	true
129           	GAMG	1.246180e-01	5.875560e-03	3	true
130           	GAMG	1.231650e-01	5.717110e-03	3	true
131           	GAMG	1.212660e-01	1.182160e-02	2	true
132           	GAMG	1.221140e-01	5.661880e-03	3	true
133           	GAMG	1.210370e-01	1.207270e-02	2	true
134           	GAMG	1.221390e-01	6.024640e-03	3	true
135           	GAMG	1.197640e-01	5.741510e-03	3	true
136           	GAMG	1.186270e-01	5.593400e-03	3	true
137           	GAMG	1.177080e-01	5.486600e-03	3	true
138           	GAMG	1.171310e-01	5.462160e-03	3	true
139           	GAMG	1.168780e-01	5.478460e-03	3	true
140           	GAMG	1.167800e-01	5.525070e-03	3	true
141           	GAMG	1.167510e-01	5.577940e-03	3	true
142           	GAMG	1.166870e-01	5.617270e-03	3	true
143           	GAMG	1.165880e-01	5.644350e-03	3	true
144           	GAMG	1.164370e-01	5.639860e-03	3	true
145           	GAMG	1.162770e-01	5.618200e-03	3	true
146           	GAMG	1.161110e-01	5.599890e-03	3	true
147           	GAMG	1.159390e-01	5.583360e-03	3	true
148           	GAMG	1.158050e-01	5.560130e-03	3	true
149           	GAMG	1.156610e-01	5.540280e-03	3	true
150           	GAMG	1.155740e-01	5.529790e-03	3	true
151           	GAMG	1.154950e-01	5.525660e-03	3	true
152           	GAMG	1.154650e-01	5.506770e-03	3	true
153           	GAMG	1.152550e-01	5.494060e-03	3	true
154           	GAMG	1.150700e-01	5.522510e-03	3	true
155           	GAMG	1.151660e-01	5.499150e-03	3	true
156           	GAMG	1.152950e-01	5.571180e-03	3	true
157           	GAMG	1.165220e-01	5.581550e-03	3	true
158           	GAMG	1.174930e-01	5.553070e-03	3	true
159           	GAMG	1.179850e-01	5.585940e-03	3	true
160           	GAMG	1.189750e-01	5.651010e-03	3	true
161           	GAMG	1.212710e-01	5.710120e-03	3	true
162           	GAMG	1.238580e-01	5.789770e-03	3	true
163           	GAMG	1.267630e-01	5.893960e-03	3	true
164           	GAMG	1.298590e-01	6.026190e-03	3	true
165           	GAMG	1.332950e-01	6.184840e-03	3	true
166           	GAMG	1.370490e-01	6.347110e-03	3	true
167           	GAMG	1.410680e-01	6.509800e-03	3	true
168           	GAMG	1.451860e-01	6.669560e-03	3	true
169           	GAMG	1.497260e-01	1.494840e-02	2	true
170           	GAMG	1.536280e-01	7.458670e-03	3	true
171           	GAMG	1.593440e-01	7.688920e-03	3	true
172           	GAMG	1.618280e-01	7.651380e-03	3	true
173           	GAMG	1.579890e-01	7.276800e-03	3	true
174           	GAMG	1.533580e-01	1.522140e-02	2	true
175           	GAMG	1.543370e-01	7.314760e-03	3	true
176           	GAMG	1.509550e-01	6.959920e-03	3	true
177           	GAMG	1.502150e-01	6.782160e-03	3	true
178           	GAMG	1.500570e-01	6.674090e-03	3	true
179           	GAMG	1.502050e-01	1.473510e-02	2	true
180           	GAMG	1.539490e-01	6.934870e-03	3	true
181           	GAMG	1.544560e-01	1.537600e-02	2	true
182           	GAMG	1.570240e-01	7.274810e-03	3	true
183           	GAMG	1.556660e-01	1.544450e-02	2	true
184           	GAMG	1.559920e-01	7.249470e-03	3	true
185           	GAMG	1.524510e-01	1.490680e-02	2	true
186           	GAMG	1.513620e-01	1.505680e-02	2	true
187           	GAMG	1.500070e-01	7.093770e-03	3	true
188           	GAMG	1.458710e-01	1.432820e-02	2	true
189           	GAMG	1.441900e-01	1.434580e-02	2	true
190           	GAMG	1.432520e-01	6.640640e-03	3	true
191           	GAMG	1.430480e-01	1.392330e-02	2	true
192           	GAMG	1.430660e-01	1.402830e-02	2	true
193           	GAMG	1.432310e-01	1.425760e-02	2	true
194           	GAMG	1.435180e-01	6.310710e-03	3	true
195           	GAMG	1.475760e-01	1.437880e-02	2	true
196           	GAMG	1.496580e-01	1.467130e-02	2	true
197           	GAMG	1.497110e-01	1.489830e-02	2	true
198           	GAMG	1.497470e-01	6.914640e-03	3	true
199           	GAMG	1.396310e-01	1.367420e-02	2	true
200           	GAMG	1.392530e-01	1.379760e-02	2	true
201           	GAMG	1.391420e-01	6.522390e-03	3	true
202           	GAMG	1.296980e-01	1.265800e-02	2	true
203           	GAMG	1.301120e-01	1.290000e-02	2	true
204           	GAMG	1.304930e-01	6.115650e-03	3	true
205           	GAMG	1.247510e-01	1.225500e-02	2	true
206           	GAMG	1.251410e-01	1.250550e-02	2	true
207           	GAMG	1.257400e-01	5.838070e-03	3	true
208           	GAMG	1.222710e-01	1.219070e-02	2	true
209           	GAMG	1.227740e-01	5.599630e-03	3	true
210           	GAMG	1.190220e-01	1.181050e-02	2	true
211           	GAMG	1.198480e-01	5.368980e-03	3	true
212           	GAMG	1.186200e-01	1.181840e-02	2	true
213           	GAMG	1.198010e-01	5.388760e-03	3	true
214           	GAMG	1.188240e-01	5.231570e-03	3	true
215           	GAMG	1.178800e-01	1.165000e-02	2	true
216           	GAMG	1.193820e-01	5.306230e-03	3	true
217           	GAMG	1.188010e-01	5.229290e-03	3	true
218           	GAMG	1.182030e-01	5.150910e-03	3	true
219           	GAMG	1.178730e-01	1.173930e-02	2	true
220           	GAMG	1.198330e-01	5.406860e-03	3	true
221           	GAMG	1.195940e-01	5.386410e-03	3	true
222           	GAMG	1.190170e-01	5.318190e-03	3	true
223           	GAMG	1.183860e-01	5.235790e-03	3	true
224           	GAMG	1.178140e-01	5.179520e-03	3	true
225           	GAMG	1.175600e-01	5.157000e-03	3	true
226           	GAMG	1.174560e-01	5.188590e-03	3	true
227           	GAMG	1.171990e-01	5.208780e-03	3	true
228           	GAMG	1.168090e-01	5.281520e-03	3	true
229           	GAMG	1.149360e-01	5.179280e-03	3	true
230           	GAMG	1.134620e-01	5.060840e-03	3	true
231           	GAMG	1.132780e-01	5.045600e-03	3	true
232           	GAMG	1.131240e-01	5.013680e-03	3	true
233           	GAMG	1.130340e-01	4.973480e-03	3	true
234           	GAMG	1.129190e-01	4.935430e-03	3	true
235           	GAMG	1.128080e-01	4.901620e-03	3	true
236           	GAMG	1.126200e-01	4.874680e-03	3	true
237           	GAMG	1.125770e-01	4.858590e-03	3	true
238           	GAMG	1.125600e-01	4.841830e-03	3	true
239           	GAMG	1.125850e-01	4.827690e-03	3	true
240           	GAMG	1.127120e-01	4.810440e-03	3	true
241           	GAMG	1.128620e-01	4.792250e-03	3	true
242           	GAMG	1.129590e-01	1.128060e-02	2	true
243           	GAMG	1.151150e-01	5.061370e-03	3	true
244           	GAMG	1.148080e-01	5.027840e-03	3	true
245           	GAMG	1.140730e-01	4.935110e-03	3	true
246           	GAMG	1.133110e-01	4.822820e-03	3	true
247           	GAMG	1.127240e-01	1.122810e-02	2	true
248           	GAMG	1.144290e-01	4.947000e-03	3	true
249           	GAMG	1.139870e-01	4.886970e-03	3	true
250           	GAMG	1.134130e-01	4.795610e-03	3	true
251           	GAMG	1.129240e-01	1.122520e-02	2	true
252           	GAMG	1.147170e-01	4.956370e-03	3	true
253           	GAMG	1.152580e-01	4.915250e-03	3	true
254           	GAMG	1.152770e-01	1.148590e-02	2	true
255           	GAMG	1.168870e-01	4.951190e-03	3	true
256           	GAMG	1.161320e-01	4.824950e-03	3	true
257           	GAMG	1.152540e-01	1.129390e-02	2	true
258           	GAMG	1.165800e-01	1.158930e-02	2	true
259           	GAMG	1.179000e-01	4.976390e-03	3	true
260           	GAMG	1.174680e-01	1.162930e-02	2	true
261           	GAMG	1.180910e-01	4.946510e-03	3	true
262           	GAMG	1.167720e-01	1.141210e-02	2	true
263           	GAMG	1.174550e-01	1.158450e-02	2	true
264           	GAMG	1.183800e-01	1.181680e-02	2	true
265           	GAMG	1.191840e-01	5.085720e-03	3	true
266           	GAMG	1.188530e-01	1.167940e-02	2	true
267           	GAMG	1.193490e-01	1.175880e-02	2	true
268           	GAMG	1.201320e-01	1.189470e-02	2	true
269           	GAMG	1.209000e-01	1.203720e-02	2	true
270           	GAMG	1.213410e-01	5.098340e-03	3	true
271           	GAMG	1.205090e-01	1.166230e-02	2	true
272           	GAMG	1.207000e-01	1.166270e-02	2	true
273           	GAMG	1.212290e-01	1.176340e-02	2	true
274           	GAMG	1.218450e-01	1.190720e-02	2	true
275           	GAMG	1.223780e-01	1.204470e-02	2	true
276           	GAMG	1.226570e-01	1.213260e-02	2	true
277           	GAMG	1.226580e-01	1.215830e-02	2	true
278           	GAMG	1.224080e-01	1.212380e-02	2	true
279           	GAMG	1.219570e-01	1.202520e-02	2	true
280           	GAMG	1.214950e-01	1.190100e-02	2	true
281           	GAMG	1.211240e-01	1.177900e-02	2	true
282           	GAMG	1.209060e-01	1.164650e-02	2	true
283           	GAMG	1.223210e-01	1.172800e-02	2	true
284           	GAMG	1.238430e-01	1.185570e-02	2	true
285           	GAMG	1.252370e-01	1.207070e-02	2	true
286           	GAMG	1.252690e-01	1.211650e-02	2	true
287           	GAMG	1.253130e-01	1.215950e-02	2	true
288           	GAMG	1.252980e-01	1.218290e-02	2	true
289           	GAMG	1.252630e-01	1.212610e-02	2	true
290           	GAMG	1.270160e-01	1.233410e-02	2	true
291           	GAMG	1.269690e-01	1.228890e-02	2	true
292           	GAMG	1.269700e-01	1.217760e-02	2	true
293           	GAMG	1.288050e-01	1.233280e-02	2	true
294           	GAMG	1.288080e-01	1.227910e-02	2	true
295           	GAMG	1.288420e-01	1.224090e-02	2	true
296           	GAMG	1.288080e-01	1.220380e-02	2	true
297           	GAMG	1.294360e-01	1.226350e-02	2	true
298           	GAMG	1.290680e-01	1.221840e-02	2	true
299           	GAMG	1.286920e-01	1.216670e-02	2	true
