# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.0638217     	smoothSolver	5.477090e-04	1.964600e-09	4	true	smoothSolver	1.311330e-03	6.178460e-05	1	true	GAMG	6.769150e-05	2.492680e-07	3	true	smoothSolver	7.639200e-05	3.535310e-06	1	true
0.0662724     	smoothSolver	5.038740e-04	1.192090e-09	4	true	smoothSolver	1.205270e-03	5.119250e-05	1	true	GAMG	6.382390e-05	2.197590e-07	3	true	smoothSolver	7.019380e-05	3.078970e-06	1	true
0.0686789     	smoothSolver	4.940130e-04	1.068700e-09	4	true	smoothSolver	1.183980e-03	4.904780e-05	1	true	GAMG	6.085400e-05	2.119270e-07	3	true	smoothSolver	6.882770e-05	2.956080e-06	1	true
0.0706563     	smoothSolver	4.054840e-04	6.921400e-09	3	true	smoothSolver	9.741000e-04	3.145110e-05	1	true	GAMG	6.574780e-05	2.201050e-07	3	true	smoothSolver	5.642690e-05	2.040110e-06	1	true
0.0726169     	smoothSolver	4.016450e-04	6.624270e-09	3	true	smoothSolver	9.657740e-04	3.046130e-05	1	true	GAMG	6.009170e-05	2.029050e-07	3	true	smoothSolver	5.595480e-05	2.003320e-06	1	true
0.074549      	smoothSolver	3.953960e-04	6.162360e-09	3	true	smoothSolver	9.521240e-04	2.942240e-05	1	true	GAMG	5.865300e-05	1.905430e-07	3	true	smoothSolver	5.514390e-05	1.989230e-06	1	true
0.0763425     	smoothSolver	3.668140e-04	4.210820e-09	3	true	smoothSolver	8.827690e-04	2.461010e-05	1	true	GAMG	5.877740e-05	1.928810e-07	3	true	smoothSolver	5.108270e-05	1.733570e-06	1	true
0.0782122     	smoothSolver	3.821720e-04	5.197380e-09	3	true	smoothSolver	9.184450e-04	2.686000e-05	1	true	GAMG	5.677240e-05	1.857950e-07	3	true	smoothSolver	5.327100e-05	1.856420e-06	1	true
0.0801207     	smoothSolver	3.898960e-04	5.760880e-09	3	true	smoothSolver	9.341440e-04	2.782680e-05	1	true	GAMG	5.602620e-05	1.790010e-07	3	true	smoothSolver	5.408560e-05	1.829380e-06	1	true
0.0820213     	smoothSolver	3.882300e-04	5.647600e-09	3	true	smoothSolver	9.276610e-04	2.745530e-05	1	true	GAMG	5.518180e-05	1.745880e-07	3	true	smoothSolver	5.381040e-05	1.874230e-06	1	true
0.0840749     	smoothSolver	4.194660e-04	8.367200e-09	3	true	smoothSolver	1.001990e-03	3.261370e-05	1	true	GAMG	5.689080e-05	1.807980e-07	3	true	smoothSolver	5.828390e-05	2.150500e-06	1	true
0.0860574     	smoothSolver	4.050200e-04	6.998960e-09	3	true	smoothSolver	9.644280e-04	2.990990e-05	1	true	GAMG	5.476290e-05	1.675570e-07	3	true	smoothSolver	5.606360e-05	1.976420e-06	1	true
0.088265      	smoothSolver	4.510220e-04	6.424960e-10	4	true	smoothSolver	1.074230e-03	3.801230e-05	1	true	GAMG	5.845480e-05	1.882630e-07	3	true	smoothSolver	6.261660e-05	2.400220e-06	1	true
0.0904942     	smoothSolver	4.556030e-04	6.774090e-10	4	true	smoothSolver	1.083730e-03	3.868250e-05	1	true	GAMG	5.634240e-05	1.758850e-07	3	true	smoothSolver	6.312390e-05	2.416570e-06	1	true
0.0928323     	smoothSolver	4.781520e-04	8.979970e-10	4	true	smoothSolver	1.136870e-03	4.300640e-05	1	true	GAMG	5.799010e-05	1.893840e-07	3	true	smoothSolver	6.624950e-05	2.686210e-06	1	true
0.0952514     	smoothSolver	4.950990e-04	1.092220e-09	4	true	smoothSolver	1.176960e-03	4.637270e-05	1	true	GAMG	5.823370e-05	1.919270e-07	3	true	smoothSolver	6.868310e-05	2.921660e-06	1	true
0.0976136     	smoothSolver	4.838200e-04	9.463320e-10	4	true	smoothSolver	1.147980e-03	4.370080e-05	1	true	GAMG	5.588530e-05	1.870020e-07	3	true	smoothSolver	6.678710e-05	2.700650e-06	1	true
0.100072      	smoothSolver	5.038210e-04	1.242810e-09	4	true	smoothSolver	1.196410e-03	4.770890e-05	1	true	GAMG	5.752190e-05	1.969740e-07	3	true	smoothSolver	6.963700e-05	2.882090e-06	1	true
0.102681      	smoothSolver	5.348630e-04	1.715230e-09	4	true	smoothSolver	1.269030e-03	5.453200e-05	1	true	GAMG	6.026180e-05	2.017380e-07	3	true	smoothSolver	7.385920e-05	3.221620e-06	1	true
0.105376      	smoothSolver	5.530260e-04	2.085740e-09	4	true	smoothSolver	1.309610e-03	5.852220e-05	1	true	GAMG	6.041180e-05	2.106620e-07	3	true	smoothSolver	7.628630e-05	3.399580e-06	1	true
0.10829       	smoothSolver	5.984860e-04	3.332850e-09	4	true	smoothSolver	1.421610e-03	6.986860e-05	1	true	GAMG	6.525020e-05	2.270800e-07	3	true	smoothSolver	8.282190e-05	4.006360e-06	1	true
0.111397      	smoothSolver	6.388330e-04	4.869140e-09	4	true	smoothSolver	1.517410e-03	8.082350e-05	1	true	GAMG	6.774590e-05	2.420070e-07	3	true	smoothSolver	8.850080e-05	4.520080e-06	1	true
0.11431       	smoothSolver	6.000360e-04	3.326970e-09	4	true	smoothSolver	1.419330e-03	6.997370e-05	1	true	GAMG	6.151670e-05	2.313510e-07	3	true	smoothSolver	8.287000e-05	3.902850e-06	1	true
0.117233      	smoothSolver	6.023730e-04	3.396090e-09	4	true	smoothSolver	1.422940e-03	7.061750e-05	1	true	GAMG	5.962230e-05	2.252200e-07	3	true	smoothSolver	8.320870e-05	3.987320e-06	1	true
0.120216      	smoothSolver	6.147580e-04	3.872560e-09	4	true	smoothSolver	1.454830e-03	7.390700e-05	1	true	GAMG	6.036710e-05	2.186080e-07	3	true	smoothSolver	8.512080e-05	4.225330e-06	1	true
0.122653      	smoothSolver	5.027280e-04	1.161910e-09	4	true	smoothSolver	1.181760e-03	4.668960e-05	1	true	GAMG	6.206040e-05	2.279430e-07	3	true	smoothSolver	6.920580e-05	2.767930e-06	1	true
0.124908      	smoothSolver	4.649300e-04	7.173650e-10	4	true	smoothSolver	1.094500e-03	3.890950e-05	1	true	GAMG	5.779200e-05	1.961790e-07	3	true	smoothSolver	6.389950e-05	2.401520e-06	1	true
0.127112      	smoothSolver	4.539330e-04	6.300980e-10	4	true	smoothSolver	1.069250e-03	3.671170e-05	1	true	GAMG	5.561120e-05	1.899510e-07	3	true	smoothSolver	6.251730e-05	2.298800e-06	1	true
0.129078      	smoothSolver	4.046210e-04	6.724210e-09	3	true	smoothSolver	9.550400e-04	2.804860e-05	1	true	GAMG	5.770620e-05	1.974750e-07	3	true	smoothSolver	5.556670e-05	1.762300e-06	1	true
0.130959      	smoothSolver	3.869240e-04	5.365060e-09	3	true	smoothSolver	9.140150e-04	2.516240e-05	1	true	GAMG	5.539310e-05	1.905180e-07	3	true	smoothSolver	5.313080e-05	1.624270e-06	1	true
0.132697      	smoothSolver	3.573200e-04	3.587680e-09	3	true	smoothSolver	8.436880e-04	2.085490e-05	1	true	GAMG	5.545750e-05	1.845320e-07	3	true	smoothSolver	4.884160e-05	1.384290e-06	1	true
0.134425      	smoothSolver	3.549670e-04	3.474330e-09	3	true	smoothSolver	8.382190e-04	2.054870e-05	1	true	GAMG	5.334850e-05	1.803820e-07	3	true	smoothSolver	4.850420e-05	1.364050e-06	1	true
0.13621       	smoothSolver	3.664710e-04	4.107480e-09	3	true	smoothSolver	8.647250e-04	2.204460e-05	1	true	GAMG	5.275190e-05	1.817310e-07	3	true	smoothSolver	5.003410e-05	1.446040e-06	1	true
0.137983      	smoothSolver	3.641190e-04	3.969370e-09	3	true	smoothSolver	8.586460e-04	2.155030e-05	1	true	GAMG	5.203890e-05	1.759000e-07	3	true	smoothSolver	4.954630e-05	1.370340e-06	1	true
0.139979      	smoothSolver	4.095660e-04	7.222310e-09	3	true	smoothSolver	9.630170e-04	2.822950e-05	1	true	GAMG	5.486370e-05	1.835720e-07	3	true	smoothSolver	5.574050e-05	1.703590e-06	1	true
