# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.166953      	smoothSolver	2.497840e-03	5.015230e-09	10	true	smoothSolver	2.125300e-01	9.922670e-03	3	true	GAMG	3.489570e-03	1.939790e-05	3	true	smoothSolver	7.259700e-03	5.305260e-04	2	true
0.180432      	smoothSolver	2.339460e-03	4.007870e-09	10	true	smoothSolver	2.159650e-01	1.083090e-02	3	true	GAMG	3.505780e-03	1.944670e-05	3	true	smoothSolver	8.225370e-03	6.511120e-04	2	true
0.193156      	smoothSolver	2.228960e-03	3.209910e-09	10	true	smoothSolver	2.251400e-01	1.195340e-02	3	true	GAMG	3.506600e-03	1.944520e-05	3	true	smoothSolver	9.514350e-03	8.191850e-04	2	true
0.204449      	smoothSolver	2.030430e-03	6.009930e-09	9	true	smoothSolver	2.239340e-01	1.122160e-02	3	true	GAMG	3.331780e-03	1.819040e-05	3	true	smoothSolver	1.042200e-02	9.284960e-04	2	true
0.214768      	smoothSolver	1.887110e-03	4.556820e-09	9	true	smoothSolver	2.258590e-01	1.105250e-02	3	true	GAMG	3.300790e-03	1.802790e-05	3	true	smoothSolver	1.165600e-02	1.071920e-03	2	true
0.224115      	smoothSolver	1.746110e-03	8.947170e-09	8	true	smoothSolver	2.270920e-01	1.075740e-02	3	true	GAMG	3.505060e-03	1.897220e-05	3	true	smoothSolver	1.301200e-02	1.234310e-03	2	true
0.232863      	smoothSolver	1.665820e-03	6.703790e-09	8	true	smoothSolver	2.377950e-01	1.108460e-02	3	true	GAMG	3.435800e-03	1.854420e-05	3	true	smoothSolver	1.506760e-02	1.439070e-03	2	true
0.241525      	smoothSolver	1.679490e-03	5.738580e-09	8	true	smoothSolver	2.609930e-01	1.259330e-02	3	true	GAMG	3.493950e-03	1.973120e-05	3	true	smoothSolver	1.830320e-02	7.309680e-04	3	true
0.250318      	smoothSolver	1.733010e-03	9.090420e-09	8	true	smoothSolver	2.896570e-01	1.522720e-02	3	true	GAMG	3.297000e-03	1.871990e-05	3	true	smoothSolver	2.320400e-02	9.967280e-04	3	true
0.25861       	smoothSolver	1.623240e-03	8.751660e-09	8	true	smoothSolver	2.951150e-01	1.507520e-02	3	true	GAMG	3.410630e-03	1.788250e-05	3	true	smoothSolver	2.726520e-02	1.075150e-03	3	true
0.26649       	smoothSolver	1.527140e-03	8.509750e-09	8	true	smoothSolver	2.962030e-01	1.501240e-02	3	true	GAMG	3.356050e-03	1.740990e-05	3	true	smoothSolver	3.126580e-02	2.857240e-03	2	true
0.274194      	smoothSolver	1.490580e-03	8.964580e-09	8	true	smoothSolver	2.997080e-01	1.363330e-02	3	true	GAMG	3.391750e-03	1.631810e-05	3	true	smoothSolver	3.608460e-02	2.953860e-03	2	true
0.281899      	smoothSolver	1.495100e-03	3.848820e-09	9	true	smoothSolver	2.858390e-01	1.139670e-02	3	true	GAMG	3.392210e-03	1.704900e-05	3	true	smoothSolver	3.998570e-02	2.641760e-03	2	true
0.28989       	smoothSolver	1.552030e-03	5.007710e-09	9	true	smoothSolver	2.763090e-01	1.210230e-02	3	true	GAMG	3.609630e-03	1.862170e-05	3	true	smoothSolver	4.337960e-02	2.521990e-03	2	true
0.298072      	smoothSolver	1.586040e-03	6.613480e-09	9	true	smoothSolver	2.599190e-01	1.231570e-02	3	true	GAMG	3.885700e-03	1.881820e-05	3	true	smoothSolver	4.428120e-02	2.560600e-03	2	true
0.306334      	smoothSolver	1.593420e-03	6.065900e-09	9	true	smoothSolver	2.432600e-01	1.146690e-02	3	true	GAMG	3.895590e-03	1.828690e-05	3	true	smoothSolver	4.363530e-02	2.761960e-03	2	true
0.315201      	smoothSolver	1.704670e-03	8.664640e-09	9	true	smoothSolver	2.327710e-01	1.206930e-02	3	true	GAMG	4.279400e-03	2.058810e-05	3	true	smoothSolver	4.474350e-02	3.314440e-03	2	true
0.324358      	smoothSolver	1.753490e-03	9.709860e-09	9	true	smoothSolver	2.152880e-01	1.163300e-02	3	true	GAMG	4.464150e-03	2.085100e-05	3	true	smoothSolver	4.367850e-02	3.798690e-03	2	true
0.333667      	smoothSolver	1.774600e-03	8.232210e-09	9	true	smoothSolver	1.927120e-01	1.144190e-02	3	true	GAMG	4.518870e-03	2.060360e-05	3	true	smoothSolver	4.202650e-02	1.910640e-03	3	true
0.343189      	smoothSolver	1.805590e-03	8.514480e-09	9	true	smoothSolver	1.750940e-01	1.178000e-02	3	true	GAMG	4.507610e-03	2.023500e-05	3	true	smoothSolver	4.049580e-02	2.029760e-03	3	true
0.35323       	smoothSolver	1.899780e-03	4.930090e-09	10	true	smoothSolver	1.664340e-01	1.281810e-02	3	true	GAMG	4.533040e-03	2.253160e-05	3	true	smoothSolver	4.135450e-02	2.395350e-03	3	true
0.363395      	smoothSolver	1.919270e-03	5.230200e-09	10	true	smoothSolver	1.529140e-01	1.297470e-02	3	true	GAMG	4.448890e-03	2.215840e-05	3	true	smoothSolver	4.060170e-02	2.534200e-03	3	true
0.373195      	smoothSolver	1.853120e-03	9.806790e-09	9	true	smoothSolver	1.333100e-01	1.209480e-02	3	true	GAMG	4.278850e-03	2.173690e-05	3	true	smoothSolver	3.780900e-02	2.412230e-03	3	true
0.382709      	smoothSolver	1.803910e-03	6.374150e-09	9	true	smoothSolver	1.222540e-01	1.213990e-02	3	true	GAMG	4.140520e-03	2.132470e-05	3	true	smoothSolver	3.642150e-02	2.412400e-03	3	true
0.392222      	smoothSolver	1.808710e-03	4.842160e-09	9	true	smoothSolver	1.212160e-01	7.727580e-03	4	true	GAMG	4.155970e-03	2.175920e-05	3	true	smoothSolver	3.630460e-02	2.603650e-03	3	true
0.401056      	smoothSolver	1.686310e-03	6.496920e-09	8	true	smoothSolver	1.147780e-01	7.606910e-03	4	true	GAMG	3.979100e-03	2.052120e-05	3	true	smoothSolver	3.444830e-02	2.398320e-03	3	true
0.410246      	smoothSolver	1.768580e-03	6.459750e-09	8	true	smoothSolver	1.148560e-01	7.791150e-03	4	true	GAMG	4.140360e-03	2.098380e-05	3	true	smoothSolver	3.571570e-02	2.522360e-03	3	true
0.419765      	smoothSolver	1.855750e-03	6.314610e-09	8	true	smoothSolver	1.085680e-01	6.937940e-03	4	true	GAMG	4.244980e-03	2.159210e-05	3	true	smoothSolver	3.522280e-02	2.646780e-03	3	true
0.42983       	smoothSolver	1.979280e-03	7.523460e-09	8	true	smoothSolver	1.032510e-01	7.283980e-03	4	true	GAMG	4.336290e-03	2.168890e-05	3	true	smoothSolver	3.486630e-02	2.908010e-03	3	true
0.440734      	smoothSolver	2.150790e-03	4.692110e-09	9	true	smoothSolver	9.804020e-02	8.579830e-03	4	true	GAMG	4.448280e-03	2.264470e-05	3	true	smoothSolver	3.490280e-02	3.425480e-03	3	true
0.452916      	smoothSolver	2.398660e-03	9.075930e-09	9	true	smoothSolver	9.443800e-02	7.019330e-03	5	true	GAMG	4.546430e-03	2.315890e-05	3	true	smoothSolver	3.550590e-02	2.578920e-03	4	true
0.466487      	smoothSolver	2.665840e-03	6.965420e-09	10	true	smoothSolver	9.118590e-02	8.847080e-03	5	true	GAMG	4.608270e-03	2.417610e-05	3	true	smoothSolver	3.589500e-02	2.963180e-03	4	true
0.48167       	smoothSolver	2.982130e-03	5.499580e-09	11	true	smoothSolver	8.983050e-02	7.641100e-03	6	true	GAMG	4.684150e-03	2.489660e-05	3	true	smoothSolver	3.670710e-02	3.309000e-03	4	true
0.496703      	smoothSolver	3.026180e-03	4.392420e-09	11	true	smoothSolver	8.115450e-02	7.021760e-03	6	true	GAMG	4.506400e-03	2.452880e-05	3	true	smoothSolver	3.417040e-02	2.980360e-03	4	true
0.511888      	smoothSolver	3.134270e-03	8.812610e-09	10	true	smoothSolver	7.755100e-02	6.648250e-03	6	true	GAMG	4.455840e-03	2.357040e-05	3	true	smoothSolver	3.291750e-02	2.718200e-03	4	true
0.527552      	smoothSolver	3.305010e-03	8.026260e-09	10	true	smoothSolver	7.602350e-02	6.483870e-03	6	true	GAMG	4.504780e-03	2.413990e-05	3	true	smoothSolver	3.240240e-02	2.484070e-03	4	true
0.544674      	smoothSolver	3.713800e-03	8.458750e-09	10	true	smoothSolver	7.771810e-02	6.908550e-03	6	true	GAMG	4.672820e-03	2.574760e-05	3	true	smoothSolver	3.278170e-02	2.572200e-03	4	true
0.562865      	smoothSolver	4.006350e-03	7.412910e-09	10	true	smoothSolver	7.644500e-02	7.057030e-03	6	true	GAMG	4.726340e-03	2.649150e-05	3	true	smoothSolver	3.150550e-02	2.748490e-03	4	true
0.58083       	smoothSolver	4.007970e-03	4.401140e-09	10	true	smoothSolver	6.874100e-02	6.469210e-03	6	true	GAMG	4.624650e-03	2.624560e-05	3	true	smoothSolver	2.870370e-02	2.586520e-03	4	true
0.599024      	smoothSolver	4.086970e-03	3.650910e-09	10	true	smoothSolver	6.268690e-02	4.834520e-03	7	true	GAMG	4.555070e-03	2.642290e-05	3	true	smoothSolver	2.707000e-02	2.517560e-03	4	true
0.617219      	smoothSolver	4.125440e-03	3.230150e-09	10	true	smoothSolver	5.622450e-02	4.625960e-03	7	true	GAMG	4.617260e-03	2.633300e-05	3	true	smoothSolver	2.536180e-02	2.350490e-03	4	true
0.635905      	smoothSolver	4.270050e-03	4.469570e-09	10	true	smoothSolver	5.272780e-02	4.618800e-03	7	true	GAMG	4.766560e-03	2.716900e-05	3	true	smoothSolver	2.441760e-02	2.281190e-03	4	true
0.655117      	smoothSolver	4.457640e-03	6.486320e-09	10	true	smoothSolver	5.026830e-02	4.566050e-03	7	true	GAMG	4.781880e-03	2.763410e-05	3	true	smoothSolver	2.383970e-02	2.165180e-03	4	true
0.674895      	smoothSolver	4.763290e-03	9.242010e-09	10	true	smoothSolver	4.858440e-02	4.483780e-03	7	true	GAMG	4.761550e-03	2.657480e-05	3	true	smoothSolver	2.336620e-02	2.045390e-03	4	true
0.695281      	smoothSolver	5.156510e-03	4.623750e-09	11	true	smoothSolver	4.735250e-02	4.391650e-03	7	true	GAMG	4.720710e-03	2.689370e-05	3	true	smoothSolver	2.305120e-02	1.925730e-03	4	true
0.716325      	smoothSolver	5.684850e-03	7.763580e-09	11	true	smoothSolver	4.661310e-02	4.306730e-03	7	true	GAMG	4.555280e-03	2.587110e-05	3	true	smoothSolver	2.294360e-02	1.822550e-03	4	true
0.738457      	smoothSolver	6.390330e-03	4.772140e-09	12	true	smoothSolver	4.677670e-02	4.393140e-03	7	true	GAMG	4.424360e-03	2.670170e-05	3	true	smoothSolver	2.336130e-02	1.785830e-03	4	true
0.760985      	smoothSolver	6.988330e-03	5.569680e-09	12	true	smoothSolver	4.564300e-02	4.154570e-03	7	true	GAMG	4.184010e-03	2.606830e-05	3	true	smoothSolver	2.321140e-02	1.640530e-03	4	true
0.784363      	smoothSolver	7.747330e-03	9.827330e-09	12	true	smoothSolver	4.520160e-02	4.100060e-03	7	true	GAMG	4.028140e-03	2.554650e-05	3	true	smoothSolver	2.357290e-02	1.577600e-03	4	true
0.80774       	smoothSolver	8.369890e-03	4.184180e-09	13	true	smoothSolver	4.370410e-02	3.744250e-03	7	true	GAMG	3.793050e-03	2.395160e-05	3	true	smoothSolver	2.329400e-02	2.167920e-03	3	true
0.827286      	smoothSolver	7.554960e-03	4.300080e-09	12	true	smoothSolver	3.584770e-02	2.995020e-03	6	true	GAMG	3.349810e-03	2.056140e-05	3	true	smoothSolver	1.974610e-02	1.439380e-03	3	true
0.849412      	smoothSolver	8.709220e-03	4.220610e-09	13	true	smoothSolver	3.913620e-02	3.682380e-03	6	true	GAMG	3.331480e-03	2.128330e-05	3	true	smoothSolver	2.250800e-02	1.748620e-03	3	true
0.872424      	smoothSolver	9.863990e-03	6.486480e-09	13	true	smoothSolver	3.946670e-02	3.689420e-03	6	true	GAMG	3.373070e-03	2.169210e-05	3	true	smoothSolver	2.373260e-02	1.780230e-03	3	true
0.894108      	smoothSolver	1.003660e-02	4.467280e-09	13	true	smoothSolver	3.639760e-02	2.938900e-03	6	true	GAMG	3.283590e-03	2.072100e-05	3	true	smoothSolver	2.293760e-02	1.494750e-03	3	true
0.915375      	smoothSolver	1.028160e-02	4.218310e-09	13	true	smoothSolver	3.501390e-02	2.564350e-03	6	true	GAMG	3.247600e-03	1.971470e-05	3	true	smoothSolver	2.309310e-02	1.369560e-03	3	true
0.936233      	smoothSolver	1.061690e-02	4.046520e-09	13	true	smoothSolver	3.397990e-02	3.186290e-03	5	true	GAMG	3.236710e-03	1.917810e-05	3	true	smoothSolver	2.337860e-02	1.265330e-03	3	true
0.957092      	smoothSolver	1.102350e-02	4.535370e-09	13	true	smoothSolver	3.390360e-02	2.967160e-03	5	true	GAMG	3.236910e-03	1.937150e-05	3	true	smoothSolver	2.421020e-02	1.225330e-03	3	true
0.978819      	smoothSolver	1.199620e-02	7.716940e-09	13	true	smoothSolver	3.547770e-02	3.043760e-03	5	true	GAMG	3.266730e-03	1.912900e-05	3	true	smoothSolver	2.618540e-02	1.320640e-03	3	true
1.00055       	smoothSolver	1.274110e-02	8.923560e-09	13	true	smoothSolver	3.650790e-02	2.842590e-03	5	true	GAMG	3.307040e-03	1.833780e-05	3	true	smoothSolver	2.735880e-02	1.317500e-03	3	true
1.02094       	smoothSolver	1.250450e-02	6.035700e-09	13	true	smoothSolver	3.617590e-02	3.498580e-03	4	true	GAMG	3.298970e-03	1.725600e-05	3	true	smoothSolver	2.715490e-02	2.549440e-03	2	true
1.04052       	smoothSolver	1.219840e-02	5.051150e-09	13	true	smoothSolver	3.725740e-02	3.122420e-03	4	true	GAMG	3.248120e-03	1.601840e-05	3	true	smoothSolver	2.776890e-02	2.568030e-03	2	true
