# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	GAMG	1.000000e+00	8.418640e-02	8	true
2             	GAMG	1.476250e-01	1.178020e-02	3	true
3             	GAMG	2.314160e-01	1.680590e-02	4	true
4             	GAMG	2.368530e-01	2.333370e-02	4	true
5             	GAMG	2.370790e-01	1.589970e-02	5	true
6             	GAMG	3.017760e-01	1.976430e-02	5	true
7             	GAMG	1.796130e-01	1.485540e-02	3	true
8             	GAMG	1.750390e-01	1.180980e-02	3	true
9             	GAMG	2.009680e-01	2.001070e-02	3	true
10            	GAMG	2.024980e-01	1.347580e-02	4	true
11            	GAMG	1.822560e-01	1.528610e-02	4	true
12            	GAMG	1.856070e-01	1.485510e-02	4	true
13            	GAMG	2.555080e-01	2.315330e-02	3	true
14            	GAMG	3.185020e-01	2.577650e-02	3	true
15            	GAMG	2.979610e-01	2.737250e-02	3	true
16            	GAMG	2.737640e-01	1.643480e-02	4	true
17            	GAMG	1.983250e-01	1.962010e-02	3	true
18            	GAMG	1.619360e-01	1.345620e-02	3	true
19            	GAMG	1.315210e-01	9.959020e-03	3	true
20            	GAMG	1.227660e-01	8.101420e-03	3	true
21            	GAMG	1.199030e-01	8.078310e-03	3	true
22            	GAMG	1.139680e-01	8.956890e-03	3	true
23            	GAMG	1.070790e-01	5.845390e-03	4	true
24            	GAMG	1.190670e-01	9.690550e-03	3	true
25            	GAMG	1.408580e-01	1.031240e-02	3	true
26            	GAMG	1.689770e-01	1.220980e-02	3	true
27            	GAMG	1.768090e-01	1.748740e-02	2	true
28            	GAMG	1.754240e-01	9.086060e-03	3	true
29            	GAMG	1.705820e-01	1.683410e-02	2	true
30            	GAMG	1.660850e-01	1.223580e-02	3	true
31            	GAMG	1.304870e-01	7.835200e-03	3	true
32            	GAMG	1.134970e-01	7.000900e-03	3	true
33            	GAMG	9.957690e-02	6.289290e-03	3	true
34            	GAMG	8.790470e-02	8.289880e-03	2	true
35            	GAMG	8.550550e-02	7.830570e-03	2	true
36            	GAMG	8.353620e-02	7.618430e-03	2	true
37            	GAMG	8.171720e-02	7.453620e-03	2	true
38            	GAMG	8.021820e-02	7.483210e-03	2	true
39            	GAMG	7.904080e-02	7.540180e-03	2	true
40            	GAMG	7.829710e-02	7.441160e-03	2	true
41            	GAMG	7.780850e-02	7.271080e-03	2	true
42            	GAMG	7.744890e-02	7.189350e-03	2	true
43            	GAMG	7.725090e-02	7.193880e-03	2	true
44            	GAMG	7.708600e-02	7.527860e-03	2	true
45            	GAMG	8.030580e-02	7.949110e-03	2	true
46            	GAMG	8.470470e-02	8.251440e-03	2	true
47            	GAMG	8.923810e-02	8.334350e-03	2	true
48            	GAMG	9.243110e-02	8.296690e-03	2	true
49            	GAMG	9.252760e-02	8.370000e-03	2	true
50            	GAMG	9.322620e-02	8.548300e-03	2	true
51            	GAMG	9.484990e-02	8.868470e-03	2	true
52            	GAMG	9.672040e-02	9.274180e-03	2	true
53            	GAMG	9.867780e-02	9.718810e-03	2	true
54            	GAMG	1.004320e-01	5.412340e-03	3	true
55            	GAMG	1.015120e-01	9.461370e-03	2	true
56            	GAMG	1.032030e-01	9.625240e-03	2	true
57            	GAMG	1.048540e-01	9.856600e-03	2	true
58            	GAMG	1.065450e-01	1.008910e-02	2	true
59            	GAMG	1.083380e-01	1.033140e-02	2	true
60            	GAMG	1.100720e-01	1.061520e-02	2	true
61            	GAMG	1.114950e-01	1.088320e-02	2	true
62            	GAMG	1.122810e-01	1.106050e-02	2	true
63            	GAMG	1.124350e-01	1.110800e-02	2	true
64            	GAMG	1.123200e-01	1.101120e-02	2	true
65            	GAMG	1.120660e-01	1.084990e-02	2	true
66            	GAMG	1.118610e-01	1.073360e-02	2	true
67            	GAMG	1.119420e-01	1.069250e-02	2	true
68            	GAMG	1.121110e-01	1.070590e-02	2	true
69            	GAMG	1.120760e-01	1.076250e-02	2	true
70            	GAMG	1.118000e-01	1.084560e-02	2	true
71            	GAMG	1.112990e-01	1.090140e-02	2	true
72            	GAMG	1.105560e-01	1.090470e-02	2	true
73            	GAMG	1.096650e-01	1.085740e-02	2	true
74            	GAMG	1.087380e-01	1.075800e-02	2	true
75            	GAMG	1.078880e-01	1.063570e-02	2	true
