# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.10827       	smoothSolver	1.384430e-03	3.556220e-09	3	true	smoothSolver	7.274390e-02	1.287090e-04	1	true	GAMG	1.933130e-03	1.439750e-05	2	true	smoothSolver	3.326480e-03	2.890130e-06	1	true
0.112487      	smoothSolver	9.741060e-04	5.379770e-10	3	true	smoothSolver	4.819800e-02	4.877880e-05	1	true	GAMG	1.543570e-03	1.093020e-05	2	true	smoothSolver	2.245310e-03	1.109620e-06	1	true
0.117546      	smoothSolver	1.151730e-03	1.484560e-09	3	true	smoothSolver	5.376920e-02	7.698860e-05	1	true	GAMG	1.743880e-03	1.273710e-05	2	true	smoothSolver	2.595820e-03	1.762570e-06	1	true
0.123436      	smoothSolver	1.327690e-03	3.862760e-09	3	true	smoothSolver	5.755710e-02	1.149720e-04	1	true	GAMG	1.918100e-03	1.434630e-05	2	true	smoothSolver	2.894280e-03	2.574360e-06	1	true
0.130218      	smoothSolver	1.504900e-03	9.994750e-09	3	true	smoothSolver	6.124630e-02	1.649100e-04	1	true	GAMG	2.072680e-03	1.604330e-05	2	true	smoothSolver	3.179670e-03	3.670140e-06	1	true
0.138188      	smoothSolver	1.717650e-03	6.536210e-10	4	true	smoothSolver	6.622800e-02	2.570530e-04	1	true	GAMG	2.245230e-03	1.792620e-05	2	true	smoothSolver	3.542270e-03	5.534460e-06	1	true
0.142805      	smoothSolver	9.544650e-04	1.748050e-09	3	true	smoothSolver	3.720650e-02	6.405730e-05	1	true	GAMG	1.521710e-03	1.161890e-05	2	true	smoothSolver	1.960120e-03	1.317260e-06	1	true
0.148017      	smoothSolver	1.054590e-03	3.336960e-09	3	true	smoothSolver	3.984770e-02	9.456610e-05	1	true	GAMG	1.664660e-03	1.318180e-05	2	true	smoothSolver	2.141800e-03	1.873390e-06	1	true
0.153898      	smoothSolver	1.171080e-03	6.549220e-09	3	true	smoothSolver	4.282070e-02	1.525780e-04	1	true	GAMG	1.811400e-03	1.463410e-05	2	true	smoothSolver	2.338090e-03	2.895550e-06	1	true
0.16025       	smoothSolver	1.253810e-03	2.294160e-10	4	true	smoothSolver	4.471920e-02	2.308670e-04	1	true	GAMG	1.894360e-03	1.516700e-05	2	true	smoothSolver	2.436610e-03	4.072080e-06	1	true
