# y+ ()       
# Time        	patch         	min           	max           	average       
1             	bottom	4.597380e-03	6.848774e+03	1.786398e+02
1             	cylinder	3.749855e-03	1.071644e+00	1.566229e-01
1             	frontAndBack	4.528288e-02	3.658514e+03	1.479972e+02
2             	bottom	5.786295e-01	5.253867e+02	1.306563e+02
2             	cylinder	4.746738e-01	6.104276e+01	1.562871e+01
2             	frontAndBack	9.346036e-01	6.954490e+02	8.488461e+01
3             	bottom	1.070597e+00	2.890851e+02	1.029799e+02
3             	cylinder	8.784883e-01	3.608517e+01	1.418823e+01
3             	frontAndBack	4.691709e-01	2.455854e+02	7.185079e+01
4             	bottom	1.518907e+00	4.862964e+02	7.959740e+01
4             	cylinder	1.246450e+00	2.519183e+01	1.269984e+01
4             	frontAndBack	3.912744e-01	4.219265e+02	6.946051e+01
5             	bottom	8.103009e-01	6.772405e+02	7.943383e+01
5             	cylinder	6.646936e-01	2.108224e+01	9.736605e+00
5             	frontAndBack	1.173902e+00	5.542719e+02	7.775353e+01
6             	bottom	3.864643e-01	4.102133e+02	7.346302e+01
6             	cylinder	3.170200e-01	1.779292e+01	8.798187e+00
6             	frontAndBack	1.155908e+00	2.982544e+02	6.385881e+01
7             	bottom	3.896356e-01	2.192291e+02	6.520651e+01
7             	cylinder	3.197192e-01	1.876138e+01	9.696160e+00
7             	frontAndBack	6.169782e-01	1.794886e+02	6.076841e+01
8             	bottom	3.708368e-01	1.822260e+02	6.606572e+01
8             	cylinder	3.042972e-01	1.791704e+01	8.899553e+00
8             	frontAndBack	3.623799e-01	1.822893e+02	6.232646e+01
9             	bottom	3.195251e-01	1.964512e+02	7.043034e+01
9             	cylinder	2.621738e-01	2.175901e+01	1.014995e+01
9             	frontAndBack	5.982453e-01	2.007296e+02	6.537354e+01
10            	bottom	9.949119e-01	1.929602e+02	7.716472e+01
10            	cylinder	8.312625e-01	2.665644e+01	1.354384e+01
10            	frontAndBack	9.605365e-01	1.921969e+02	6.943247e+01
11            	bottom	1.299691e+00	2.002217e+02	8.250001e+01
11            	cylinder	1.082797e+00	3.015075e+01	1.558536e+01
11            	frontAndBack	1.111976e+00	2.064606e+02	7.015649e+01
12            	bottom	2.388223e+00	2.401848e+02	8.684591e+01
12            	cylinder	1.986251e+00	3.385538e+01	1.655333e+01
12            	frontAndBack	7.272606e-01	2.080320e+02	6.944877e+01
13            	bottom	1.833192e+00	2.654426e+02	9.024622e+01
13            	cylinder	1.528337e+00	3.689227e+01	1.717540e+01
13            	frontAndBack	9.687106e-01	2.074746e+02	6.843732e+01
14            	bottom	1.423420e+00	2.649365e+02	9.179225e+01
14            	cylinder	1.187412e+00	3.881120e+01	1.776484e+01
14            	frontAndBack	7.417437e-01	2.118445e+02	6.779977e+01
15            	bottom	1.702181e+00	2.581520e+02	9.139624e+01
15            	cylinder	1.416820e+00	3.938324e+01	1.803967e+01
15            	frontAndBack	6.116753e-01	2.426652e+02	6.663413e+01
16            	bottom	3.022630e+00	2.497266e+02	9.071543e+01
16            	cylinder	2.478734e+00	4.017986e+01	1.882039e+01
16            	frontAndBack	8.614184e-01	2.271248e+02	6.604198e+01
17            	bottom	2.453012e+00	2.348325e+02	9.051823e+01
17            	cylinder	2.046293e+00	4.026677e+01	1.938343e+01
17            	frontAndBack	6.332199e-01	2.417581e+02	6.554147e+01
18            	bottom	2.190323e+00	2.313827e+02	9.101228e+01
18            	cylinder	1.828891e+00	4.049594e+01	1.938707e+01
18            	frontAndBack	6.470168e-01	2.605217e+02	6.512645e+01
19            	bottom	1.280788e+00	2.216321e+02	9.159972e+01
19            	cylinder	1.068167e+00	4.067163e+01	1.946250e+01
19            	frontAndBack	7.727198e-01	2.469807e+02	6.528784e+01
20            	bottom	2.176460e+00	2.206038e+02	9.216444e+01
20            	cylinder	1.815595e+00	4.157284e+01	1.973776e+01
20            	frontAndBack	8.103565e-01	2.003998e+02	6.356122e+01
21            	bottom	1.768203e+00	2.144934e+02	9.312478e+01
21            	cylinder	1.474666e+00	4.279341e+01	2.036053e+01
21            	frontAndBack	6.700749e-01	4.157279e+02	6.352414e+01
