# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.0203275     	smoothSolver	5.656090e-04	9.398410e-10	5	true	smoothSolver	1.660390e-02	1.330610e-04	1	true	GAMG	1.135880e-03	6.814350e-06	3	true	smoothSolver	4.199020e-04	2.195510e-05	1	true
0.0216372     	smoothSolver	5.646420e-04	1.262220e-09	5	true	smoothSolver	1.750930e-02	1.566930e-04	1	true	GAMG	1.129980e-03	6.421400e-06	3	true	smoothSolver	4.618350e-04	2.494650e-05	1	true
0.0230267     	smoothSolver	5.862340e-04	1.546450e-09	5	true	smoothSolver	1.842310e-02	1.866740e-04	1	true	GAMG	1.202470e-03	6.277400e-06	3	true	smoothSolver	4.952130e-04	2.798220e-05	1	true
0.0245005     	smoothSolver	6.128820e-04	1.961060e-09	5	true	smoothSolver	1.940660e-02	2.180400e-04	1	true	GAMG	1.108430e-03	5.701290e-06	3	true	smoothSolver	5.409390e-04	3.200820e-05	1	true
0.0260626     	smoothSolver	6.284680e-04	2.915240e-09	5	true	smoothSolver	2.032420e-02	2.551840e-04	1	true	GAMG	1.229790e-03	5.882060e-06	3	true	smoothSolver	5.817140e-04	3.636690e-05	1	true
0.0277284     	smoothSolver	6.648440e-04	4.360940e-09	5	true	smoothSolver	2.146150e-02	3.037770e-04	1	true	GAMG	1.145730e-03	6.597200e-06	3	true	smoothSolver	6.341260e-04	4.125960e-05	1	true
0.0295157     	smoothSolver	7.118600e-04	5.223520e-09	5	true	smoothSolver	2.282630e-02	3.631060e-04	1	true	GAMG	1.146560e-03	5.826110e-06	3	true	smoothSolver	6.929940e-04	4.753780e-05	1	true
0.0314415     	smoothSolver	7.500570e-04	6.564670e-09	5	true	smoothSolver	2.440180e-02	4.397290e-04	1	true	GAMG	1.121050e-03	6.058610e-06	3	true	smoothSolver	7.608620e-04	5.511390e-05	1	true
0.0335256     	smoothSolver	8.299580e-04	9.597520e-09	5	true	smoothSolver	2.624350e-02	5.340260e-04	1	true	GAMG	1.146960e-03	6.644000e-06	3	true	smoothSolver	8.415680e-04	6.498890e-05	1	true
0.0357944     	smoothSolver	8.663290e-04	1.335590e-09	6	true	smoothSolver	2.847680e-02	6.579920e-04	1	true	GAMG	1.241300e-03	6.926640e-06	3	true	smoothSolver	9.349410e-04	7.803240e-05	1	true
0.0382803     	smoothSolver	9.177520e-04	1.782070e-09	6	true	smoothSolver	3.113180e-02	8.239320e-04	1	true	GAMG	1.244330e-03	6.958300e-06	3	true	smoothSolver	1.034650e-03	9.157380e-05	1	true
0.0410291     	smoothSolver	9.984770e-04	3.548170e-09	6	true	smoothSolver	3.440900e-02	1.043220e-03	1	true	GAMG	1.355220e-03	7.704230e-06	3	true	smoothSolver	1.153530e-03	1.115800e-04	1	true
