"Co","U:0","U:1","U:2","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
21.162,-0.010822,0.0013493,0.00075177,7.4844e-06,0,1103.1,-0.0039985,4.0112e-05,-6.8173e-06,-2.8804e-06,0.40383,0,-0.23427,-0.004536,0.025
21.413,-0.010949,0.0013499,0.00077756,7.6073e-06,0,1096.4,-0.0040023,4.0467e-05,-6.7902e-06,-2.957e-06,0.4084,5.1429e-05,-0.23432,-0.0045315,0.025
24.001,-0.012261,0.0013559,0.0010431,8.8771e-06,0,1027.8,-0.0040419,4.4128e-05,-6.5094e-06,-3.7455e-06,0.45562,0.00058228,-0.23485,-0.0044849,0.025
25.783,-0.013725,0.0011566,0.0011214,1.001e-05,0,982.29,-0.0040906,4.8327e-05,-5.1282e-06,-3.8136e-06,0.49457,0.0011584,-0.23542,-0.0044344,0.025
36.164,-0.014757,0.0011753,0.00045853,1.0244e-05,0,1241.6,-0.0041426,5.5518e-05,-5.3219e-06,-1.3877e-06,0.46701,0.0017709,-0.23603,-0.0043806,0.025
36.916,-0.014809,0.0011974,0.00043434,1.0277e-05,0,1252.7,-0.0041445,5.5931e-05,-5.4954e-06,-1.319e-06,0.46569,0.0017919,-0.23605,-0.0043787,0.025
49.64,-0.015292,0.0020502,-0.00025782,8.9994e-06,0,2458.1,-0.0042222,7.6892e-05,-1.7948e-05,8.4647e-07,0.31549,0.0024889,-0.23675,-0.0043176,0.025
49.85,-0.015256,0.0020749,-0.00028222,8.8797e-06,0,2527,-0.0042258,7.7862e-05,-1.8576e-05,9.5219e-07,0.306,0.0025128,-0.23677,-0.0043155,0.025
43.762,-0.024178,0.0076273,-0.00010417,2.4187e-05,0,2505.2,-0.0043861,0.00016969,-4.6069e-05,-1.3827e-07,0.46903,0.003051,-0.23731,-0.0042683,0.025
174.78,-0.0062835,-0.03933,-0.0074655,0.00019274,0,2719.6,-0.0052257,0.0001501,0.00036829,4.9722e-05,1.1328,0.0035427,-0.2378,-0.0042252,0.025
314.38,0.018609,-0.12263,-0.023289,0.0003658,0,2512.6,-0.00019525,-4.5021e-05,0.00075218,0.0001236,1.9565,0.0040185,-0.23827,-0.0041834,0.025
