"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
14.566,-0.0040516,1.1185e-06,0.0040429,0,0,0,8.7411e-06,1.6052e-05,0,1148.6,-0.01681,-0.012979,1.7679e-05,-3.5247e-09,-1.8297e-05,0.42976,0,-0.0045043,0,0.10041
14.445,-0.0057338,1.7923e-07,0.0046607,0,0,0,8.6632e-06,1.5205e-05,0,1255.9,-0.01676,-0.012904,2.0573e-05,-7.1353e-10,-2.2094e-05,0.40806,0.0003136,-0.0041957,0,0.10035
17.145,-0.0086814,-2.2793e-06,0.0033807,0,0,0,7.5014e-06,1.2257e-05,0,1443.6,-0.016607,-0.012789,3.3665e-05,9.3517e-09,-1.6411e-05,0.3538,0.00086514,-0.0036509,0,0.10027
17.623,-0.0094145,-6.54e-06,0.0022351,0,0,0,5.787e-06,9.9891e-06,0,1635.7,-0.016462,-0.012715,4.0392e-05,3.0966e-08,-1.196e-05,0.29184,0.0014186,-0.0031026,0,0.10019
17.202,-0.0092021,-1.125e-05,0.0013965,0,0,0,4.6432e-06,8.752e-06,0,1856.4,-0.016364,-0.012663,4.3038e-05,5.5866e-08,-7.9536e-06,0.24556,0.0019679,-0.0025569,0,0.10013
17.223,-0.0089234,-1.3948e-05,0.00095455,0,0,0,3.9997e-06,7.6424e-06,0,2194.9,-0.016296,-0.012617,4.5859e-05,7.3759e-08,-5.8356e-06,0.21013,0.002507,-0.00202,0,0.10008
19.175,-0.0084472,-1.536e-05,0.00052508,0,0,0,3.3232e-06,6.2152e-06,0,3026,-0.016234,-0.012582,5.0792e-05,9.4519e-08,-2.7678e-06,0.16572,0.0030319,-0.0014964,0,0.10005
24.955,-0.0087059,-2.1572e-05,0.00031791,0,0,0,3.8593e-06,6.5429e-06,0,2706.5,-0.016178,-0.012542,4.9242e-05,1.1914e-07,-1.4232e-06,0.19691,0.0035416,-0.00098722,0,0.10002
23.148,-0.01006,-3.3231e-05,0.00069944,0,0,0,7.2759e-06,1.0199e-05,0,1332.3,-0.016128,-0.012491,4.0567e-05,1.3256e-07,-3.0492e-06,0.38379,0.0040389,-0.00049017,0,0.10001
18.159,-0.010477,-3.7514e-05,0.00091529,0,0,0,9.1828e-06,1.1199e-05,0,970.05,-0.016101,-0.012469,3.6185e-05,1.316e-07,-4.3472e-06,0.48631,0.0044421,-8.7001e-05,0,0.1
17.083,-0.010567,-3.8438e-05,0.00096186,0,0,0,9.5942e-06,1.1415e-05,0,891.89,-0.016095,-0.012465,3.524e-05,1.3139e-07,-4.6273e-06,0.50843,0.0045291,-1.9138e-08,4.1359e-25,0.1
21.533,-0.0094,-3.3354e-05,0.00071411,0,0,0,6.4365e-06,8.0249e-06,0,1332.2,-0.016066,-0.012459,3.6435e-05,1.3248e-07,-5.1094e-06,0.35987,0.0050193,0.00049014,0,0.10001
20.006,-0.0067561,-2.4054e-05,0.00035992,0,0,0,2.2668e-06,5.2112e-06,0,2706.4,-0.016036,-0.012469,3.6196e-05,1.3223e-07,-4.6519e-06,0.15056,0.0055165,0.00098719,0,0.10002
