"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
38.631,-0.0064903,7.7354e-06,-0.0092523,0,0,0,7.252e-06,1.6967e-05,0,2221.6,-0.011722,-0.011622,3.3188e-05,-4.0822e-08,4.7719e-05,0.28088,0.045821,0.019968,0,0.05996
38.69,-0.0066347,7.6468e-06,-0.0096494,0,0,0,7.7543e-06,1.7526e-05,0,2159,-0.011716,-0.011612,3.2898e-05,-3.981e-08,4.9333e-05,0.29457,0.045919,0.020026,0,0.060039
38.894,-0.0071376,7.338e-06,-0.011032,0,0,0,9.5033e-06,1.9473e-05,0,1940.8,-0.011694,-0.011578,3.1888e-05,-3.6283e-08,5.4955e-05,0.34225,0.04626,0.020229,0,0.060313
41.568,-0.0075233,6.75e-06,-0.012155,0,0,0,1.1527e-05,2.1922e-05,0,1717.5,-0.011669,-0.011549,3.2036e-05,-3.1433e-08,5.7258e-05,0.40241,0.046699,0.020485,0,0.06067
44.245,-0.0079729,5.8945e-06,-0.013255,0,0,0,1.4891e-05,2.5593e-05,0,1514.8,-0.011636,-0.011547,3.2105e-05,-2.5782e-08,5.8552e-05,0.48475,0.04714,0.020734,0,0.061034
47.57,-0.0086494,5.0701e-06,-0.014436,0,0,0,1.8323e-05,2.9667e-05,0,1302.4,-0.011607,-0.011568,3.2438e-05,-2.056e-08,5.9439e-05,0.58421,0.047582,0.020977,0,0.061403
46.57,-0.0096189,3.9962e-06,-0.015971,0,0,0,2.344e-05,3.5146e-05,0,1040.4,-0.011592,-0.011587,3.387e-05,-1.457e-08,5.6959e-05,0.7408,0.048026,0.021215,0,0.061777
44.419,-0.0088789,2.8476e-06,-0.015356,0,0,0,2.2603e-05,3.5183e-05,0,1428,-0.011557,-0.011507,3.3818e-05,-1.1552e-08,6.2218e-05,0.66,0.048472,0.021449,0,0.062158
51.858,-0.0077227,2.1421e-06,-0.014263,0,0,0,1.8032e-05,3.1876e-05,0,1674.5,-0.01154,-0.01147,3.4043e-05,-9.9114e-09,6.4238e-05,0.51467,0.048922,0.021675,-2.068e-25,0.062546
48.13,-0.0089395,8.8138e-07,-0.016828,0,0,0,2.4612e-05,3.8419e-05,0,1223.4,-0.0115,-0.011472,3.3741e-05,-3.7418e-09,6.4765e-05,0.70377,0.049374,0.021897,0,0.06294
44.658,-0.0082905,-1.5832e-07,-0.016238,0,0,0,2.4274e-05,3.8638e-05,0,1558.1,-0.011454,-0.011404,3.3218e-05,7.3501e-10,6.8989e-05,0.64894,0.049829,0.022113,0,0.063341
49.565,-0.0076649,-5.2893e-07,-0.015658,0,0,0,2.1847e-05,3.704e-05,0,1689,-0.011436,-0.011384,3.2962e-05,2.3298e-09,7.004e-05,0.5777,0.050108,0.022242,0,0.063588
52.715,-0.0072633,-7.6681e-07,-0.015285,0,0,0,2.0289e-05,3.6014e-05,0,1772.9,-0.011425,-0.011372,3.2797e-05,3.3535e-09,7.0715e-05,0.53197,0.050287,0.022324,0,0.063747
