"Co","U:0","U:1","U:2","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
303.92,0.18339,-2.7046e-05,-0.00094502,0.00064214,0,1660.6,-0.012171,-0.0008111,1.1988e-07,-3.0307e-06,3.1191,0.013373,5.2593e-09,0,0.002
313.77,0.19,-2.9225e-05,0.0019551,0.000713,0,1651.4,-0.014179,-0.00083581,1.2887e-07,-9.5695e-06,3.3058,0.013985,0.00061229,0,0.0020081
319.18,0.19292,-3.1312e-05,0.0049717,0.00078006,0,1608.7,-0.015508,-0.00083501,1.3581e-07,-1.5819e-05,3.516,0.014595,0.0012212,0,0.0020299
320.25,0.19214,-3.3313e-05,0.0079553,0.0008327,0,1535.9,-0.016105,-0.00081011,1.4066e-07,-2.1643e-05,3.7323,0.015198,0.0018234,0,0.0020671
316.85,0.18804,-3.5315e-05,0.010569,0.0008694,0,1439.2,-0.016037,-0.00076558,1.4381e-07,-2.5628e-05,3.9558,0.015792,0.0024154,0,0.0021169
313.93,0.18552,-3.6037e-05,0.011195,0.000875,0,1397.2,-0.015804,-0.00074414,1.4427e-07,-2.5079e-05,4.0368,0.016004,0.0026255,0,0.0021399
308.8,0.1811,-3.7302e-05,0.012295,0.00088483,0,1323.5,-0.015394,-0.00070651,1.4507e-07,-2.4115e-05,4.179,0.016374,0.0029942,0,0.0021802
305.31,0.17846,-3.7723e-05,0.012277,0.00088268,0,1292.4,-0.015138,-0.00068865,1.4475e-07,-2.237e-05,4.2312,0.01651,0.0031288,0,0.0021981
294.18,0.17006,-3.9065e-05,0.012218,0.00087583,0,1193.3,-0.014319,-0.00063172,1.4371e-07,-1.6809e-05,4.3973,0.016943,0.0035579,0,0.0022551
264.26,0.15939,-4.0856e-05,0.0095836,0.00084594,0,1057.8,-0.012871,-0.00055788,1.4107e-07,1.0522e-05,4.609,0.017498,0.0041059,0,0.0023397
283.95,0.1304,-3.6334e-05,0.0063423,0.0007987,0,1332.3,-0.012512,-0.00050135,1.3857e-07,3.0876e-05,4.0662,0.018039,0.0046387,0,0.0024351
236.56,0.085246,-2.7804e-05,0.00093937,0.00061251,0,2299.8,-0.012731,-0.0004407,1.434e-07,6.8144e-05,2.6845,0.018569,0.005158,0,0.0025394
196.85,0.074899,-2.716e-05,-0.00086257,0.00051895,0,2311.3,-0.012541,-0.00039509,1.4147e-07,7.8164e-05,2.4057,0.018752,0.0053368,0,0.0025789
