# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.00059988    	smoothSolver	0.000000e+00	0.000000e+00	0	true	smoothSolver	1.000000e+00	1.156450e-04	1	true	GAMG	1.000000e+00	8.528240e-03	2	true	smoothSolver	2.746930e-03	1.521270e-07	1	true
0.00131991    	smoothSolver	1.439610e-03	6.870720e-10	2	true	smoothSolver	5.509030e-01	2.148770e-05	1	true	GAMG	4.195780e-03	2.147140e-05	3	true	smoothSolver	3.154640e-03	9.548430e-08	1	true
0.00218382    	smoothSolver	7.329730e-04	1.069890e-10	2	true	smoothSolver	4.607870e-01	1.973390e-05	1	true	GAMG	2.926560e-03	1.953780e-05	2	true	smoothSolver	3.754610e-03	1.317780e-07	1	true
0.00322105    	smoothSolver	6.461510e-04	1.381610e-10	2	true	smoothSolver	3.627160e-01	1.980060e-05	1	true	GAMG	2.209270e-03	8.136980e-06	2	true	smoothSolver	4.430640e-03	1.938150e-07	1	true
0.00446547    	smoothSolver	7.205680e-04	2.569040e-10	2	true	smoothSolver	3.025600e-01	2.197060e-05	1	true	GAMG	2.243520e-03	7.152140e-06	2	true	smoothSolver	5.199180e-03	2.937360e-07	1	true
0.00595802    	smoothSolver	8.473030e-04	5.347050e-10	2	true	smoothSolver	2.715870e-01	2.614410e-05	1	true	GAMG	2.497670e-03	7.754430e-06	2	true	smoothSolver	6.074190e-03	4.456070e-07	1	true
0.00774909    	smoothSolver	1.009180e-03	1.221180e-09	2	true	smoothSolver	2.552630e-01	3.274840e-05	1	true	GAMG	2.828020e-03	8.981460e-06	2	true	smoothSolver	7.073740e-03	6.829660e-07	1	true
0.00989682    	smoothSolver	1.201770e-03	2.862520e-09	2	true	smoothSolver	2.467600e-01	4.228370e-05	1	true	GAMG	3.164540e-03	1.055370e-05	2	true	smoothSolver	8.193030e-03	1.041290e-06	1	true
0.0124752     	smoothSolver	1.425820e-03	6.646310e-09	2	true	smoothSolver	2.434050e-01	5.362450e-05	1	true	GAMG	3.449400e-03	1.215080e-05	2	true	smoothSolver	9.450620e-03	1.583400e-06	1	true
0.0155709     	smoothSolver	1.676850e-03	1.134930e-10	3	true	smoothSolver	2.437190e-01	6.687410e-05	1	true	GAMG	3.625620e-03	1.339460e-05	2	true	smoothSolver	1.084570e-02	2.425100e-06	1	true
0.0192857     	smoothSolver	1.949050e-03	3.063880e-10	3	true	smoothSolver	2.477710e-01	8.619800e-05	1	true	GAMG	3.664490e-03	1.414460e-05	2	true	smoothSolver	1.238080e-02	3.828580e-06	1	true
0.0237435     	smoothSolver	2.237300e-03	6.543930e-10	3	true	smoothSolver	2.549490e-01	1.164370e-04	1	true	GAMG	3.561060e-03	1.466620e-05	2	true	smoothSolver	1.403870e-02	6.068120e-06	1	true
0.0290783     	smoothSolver	2.494600e-03	1.249230e-09	3	true	smoothSolver	2.638040e-01	1.641440e-04	1	true	GAMG	3.399840e-03	1.512510e-05	2	true	smoothSolver	1.575220e-02	9.405510e-06	1	true
0.0354659     	smoothSolver	2.718960e-03	2.690190e-09	3	true	smoothSolver	2.753770e-01	2.397420e-04	1	true	GAMG	3.334640e-03	1.627380e-05	2	true	smoothSolver	1.755260e-02	1.434320e-05	1	true
0.0431209     	smoothSolver	2.836570e-03	5.898600e-09	3	true	smoothSolver	2.845010e-01	3.520810e-04	1	true	GAMG	3.247050e-03	1.888190e-05	2	true	smoothSolver	1.941650e-02	2.128070e-05	1	true
0.0523217     	smoothSolver	2.825810e-03	2.706400e-10	4	true	smoothSolver	2.911840e-01	5.166970e-04	1	true	GAMG	3.201810e-03	2.271550e-05	2	true	smoothSolver	2.124670e-02	3.067710e-05	1	true
0.0633412     	smoothSolver	2.749780e-03	1.007900e-09	4	true	smoothSolver	2.869350e-01	7.807970e-04	1	true	GAMG	3.215010e-03	2.525860e-05	2	true	smoothSolver	2.259020e-02	4.478850e-05	1	true
0.0765336     	smoothSolver	2.937190e-03	4.108720e-09	4	true	smoothSolver	2.734700e-01	1.090970e-03	1	true	GAMG	3.093110e-03	2.682950e-05	2	true	smoothSolver	2.350070e-02	6.538080e-05	1	true
0.0909627     	smoothSolver	3.243380e-03	3.710560e-10	5	true	smoothSolver	2.427550e-01	1.275830e-03	1	true	GAMG	3.073370e-03	2.658620e-05	2	true	smoothSolver	2.238130e-02	7.550330e-05	1	true
0.101063      	smoothSolver	2.351000e-03	1.762720e-09	4	true	smoothSolver	1.535020e-01	5.435390e-04	1	true	GAMG	2.598150e-03	2.038210e-05	2	true	smoothSolver	1.409280e-02	2.966290e-05	1	true
0.10294       	smoothSolver	4.329950e-04	9.842660e-10	2	true	smoothSolver	2.720680e-02	6.284480e-06	1	true	GAMG	7.372250e-04	5.178500e-06	2	true	smoothSolver	2.520950e-03	3.787050e-07	1	true
0.104297      	smoothSolver	3.028090e-04	2.142380e-10	2	true	smoothSolver	1.954430e-02	2.766890e-06	1	true	GAMG	5.353020e-04	3.673430e-06	2	true	smoothSolver	1.802150e-03	1.648080e-07	1	true
0.105841      	smoothSolver	3.405360e-04	3.949850e-10	2	true	smoothSolver	2.206140e-02	4.187660e-06	1	true	GAMG	5.938370e-04	4.174770e-06	2	true	smoothSolver	2.023100e-03	2.237540e-07	1	true
0.107605      	smoothSolver	3.871550e-04	7.493330e-10	2	true	smoothSolver	2.499340e-02	6.497560e-06	1	true	GAMG	6.633610e-04	4.684480e-06	2	true	smoothSolver	2.274330e-03	3.187910e-07	1	true
0.109675      	smoothSolver	4.549650e-04	1.625620e-09	2	true	smoothSolver	2.900100e-02	1.007720e-05	1	true	GAMG	7.655960e-04	5.422290e-06	2	true	smoothSolver	2.619460e-03	4.721540e-07	1	true
