# y+ ()       
# Time        	patch         	min           	max           	average       
14            	obstacle	3.016583e-02	7.975097e+01	3.171037e+01
14.5          	bottom	1.843816e-02	4.345507e+02	1.594841e+02
14.5          	frontAndBack	1.645858e-01	2.253892e+02	6.553848e+01
14.5          	obstacle	2.110246e-02	8.797490e+01	3.408691e+01
15            	bottom	2.006504e-02	4.402672e+02	1.616690e+02
15            	frontAndBack	1.918442e-01	2.265871e+02	6.596554e+01
15            	obstacle	2.296403e-02	8.773165e+01	3.421905e+01
15.5          	bottom	9.647540e-03	4.467601e+02	1.639591e+02
15.5          	frontAndBack	1.630607e-01	2.283806e+02	6.604176e+01
15.5          	obstacle	1.104148e-02	9.025641e+01	3.512019e+01
16            	bottom	1.299075e-02	4.485348e+02	1.661071e+02
16            	frontAndBack	1.849453e-01	2.248177e+02	6.614695e+01
16            	obstacle	1.486797e-02	9.698958e+01	3.659926e+01
16.5          	bottom	3.212256e-02	4.524351e+02	1.675749e+02
16.5          	frontAndBack	1.170568e-01	2.204629e+02	6.643137e+01
16.5          	obstacle	3.676472e-02	1.000466e+02	3.738196e+01
17            	bottom	8.995120e-03	4.576816e+02	1.679540e+02
17            	frontAndBack	2.431474e-01	2.196354e+02	6.628131e+01
17            	obstacle	1.029487e-02	1.003535e+02	3.747674e+01
17.5          	bottom	1.348099e-02	4.607754e+02	1.680772e+02
17.5          	frontAndBack	2.426144e-01	2.121617e+02	6.618860e+01
17.5          	obstacle	1.542909e-02	9.931110e+01	3.730348e+01
18            	bottom	3.303078e-02	4.577217e+02	1.680714e+02
18            	frontAndBack	1.721993e-01	2.112006e+02	6.593165e+01
18            	obstacle	1.810398e-02	9.691810e+01	3.731434e+01
18.5          	bottom	1.417515e-02	4.564808e+02	1.679879e+02
18.5          	frontAndBack	2.962152e-01	2.133365e+02	6.586286e+01
18.5          	obstacle	1.622360e-02	9.615891e+01	3.756010e+01
19            	bottom	4.059714e-02	4.563030e+02	1.675167e+02
19            	frontAndBack	2.808305e-01	2.260774e+02	6.563303e+01
19            	obstacle	4.646382e-02	9.409779e+01	3.779760e+01
19.5          	bottom	5.929193e-02	4.547525e+02	1.669026e+02
19.5          	frontAndBack	2.400321e-01	2.260550e+02	6.518989e+01
19.5          	obstacle	6.786058e-02	9.269895e+01	3.734825e+01
20            	bottom	3.604410e-02	4.543049e+02	1.663585e+02
20            	frontAndBack	2.030088e-01	2.116164e+02	6.503098e+01
20            	obstacle	4.125263e-02	9.249104e+01	3.691557e+01
20.5          	bottom	4.900488e-02	4.525481e+02	1.655194e+02
20.5          	frontAndBack	2.477246e-01	2.184020e+02	6.486222e+01
20.5          	obstacle	5.608659e-02	9.079067e+01	3.670770e+01
21            	bottom	6.649358e-02	4.511463e+02	1.645149e+02
21            	frontAndBack	1.733168e-01	2.242711e+02	6.483815e+01
